Date,maxtemp,pred_maxtemp,class_true,class_pred
2018-03-22,31.0,33.88,mediana,mediana
2018-03-23,29.0,29.69,baja,baja
2018-03-24,36.0,35.8,alta,alta
2018-03-25,31.0,31.42,mediana,mediana
2018-03-26,28.0,29.62,baja,baja
2018-03-27,33.0,33.49,mediana,mediana
2018-03-28,36.0,35.71,alta,alta
2018-03-29,32.0,35.39,mediana,alta
2018-03-30,34.0,33.19,mediana,mediana
2018-03-31,29.0,35.87,baja,alta
2018-04-01,35.0,34.72,alta,alta
2018-04-02,31.0,34.63,mediana,alta
2018-04-03,38.0,38.02,alta,alta
2018-04-04,34.0,33.58,mediana,mediana
2018-04-05,37.0,36.19,alta,alta
2018-04-06,37.0,36.31,alta,alta
2018-04-07,35.0,35.12,alta,alta
2018-04-08,32.0,31.16,mediana,mediana
2018-04-09,35.0,34.36,alta,alta
2018-04-10,35.0,34.95,alta,alta
2018-04-11,30.0,28.18,baja,baja
2018-04-12,34.0,33.91,mediana,mediana
2018-04-13,34.0,33.13,mediana,mediana
2018-04-14,23.0,27.89,baja,baja
2018-04-15,29.0,28.01,baja,baja
2018-04-16,27.0,25.94,baja,baja
2018-04-17,23.0,23.85,baja,baja
2018-04-18,19.0,19.78,baja,baja
2018-04-19,24.0,25.75,baja,baja
2018-04-20,25.0,25.58,baja,baja
2018-04-21,26.0,26.68,baja,baja
2018-04-22,28.0,28.21,baja,baja
2018-04-23,28.0,28.08,baja,baja
2018-04-24,27.0,26.55,baja,baja
2018-04-25,26.0,27.97,baja,baja
2018-04-26,33.0,33.12,mediana,mediana
2018-04-27,34.0,32.55,mediana,mediana
2018-04-28,32.0,33.01,mediana,mediana
2018-04-29,32.0,32.27,mediana,mediana
2018-04-30,34.0,33.25,mediana,mediana
2018-05-01,33.0,32.74,mediana,mediana
2018-05-02,34.0,34.36,mediana,alta
2018-05-03,32.0,32.59,mediana,mediana
2018-05-04,35.0,33.49,alta,mediana
2018-05-05,34.0,33.34,mediana,mediana
2018-05-06,33.0,33.67,mediana,mediana
2018-05-07,32.0,31.59,mediana,mediana
2018-05-08,36.0,36.15,alta,alta
2018-05-09,28.0,28.4,baja,baja
2018-05-10,29.0,28.88,baja,baja
2018-05-11,34.0,33.56,mediana,mediana
2018-05-12,35.0,34.38,alta,alta
2018-05-13,36.0,35.0,alta,alta
2018-05-14,35.0,34.59,alta,alta
2018-05-15,27.0,29.37,baja,baja
2018-05-16,36.0,36.08,alta,alta
2018-05-17,35.0,33.76,alta,mediana
2018-05-18,38.0,37.56,alta,alta
2018-05-19,31.0,30.95,mediana,mediana
2018-05-20,34.0,33.68,mediana,mediana
2018-05-21,36.0,35.2,alta,alta
2018-05-22,33.0,33.19,mediana,mediana
2018-05-23,30.0,28.03,baja,baja
2018-05-24,36.0,34.04,alta,alta
2018-05-25,36.0,35.72,alta,alta
2018-05-26,30.0,28.91,baja,baja
2018-05-27,35.0,29.95,alta,baja
2018-05-28,33.0,33.1,mediana,mediana
2018-05-29,25.0,25.01,baja,baja
2018-05-30,28.0,25.68,baja,baja
2018-05-31,25.0,24.36,baja,baja
2018-06-01,22.0,22.68,baja,baja
2018-06-02,20.0,20.67,baja,baja
2018-06-03,23.0,25.72,baja,baja
2018-06-04,23.0,25.79,baja,baja
2018-06-05,26.0,29.29,baja,baja
2018-06-06,28.0,27.29,baja,baja
2018-06-07,30.0,29.52,baja,baja
2018-06-08,28.0,28.93,baja,baja
2018-06-09,32.0,32.46,mediana,mediana
2018-06-10,32.0,32.47,mediana,mediana
2018-06-11,34.0,32.58,mediana,mediana
2018-06-12,26.0,27.02,baja,baja
2018-06-13,31.0,31.64,mediana,mediana
2018-06-14,35.0,34.38,alta,alta
2018-06-15,27.0,30.28,baja,mediana
2018-06-16,37.0,35.8,alta,alta
2018-06-17,28.0,29.68,baja,baja
2018-06-18,35.0,34.42,alta,alta
2018-06-19,34.0,33.24,mediana,mediana
2018-06-20,35.0,34.13,alta,alta
2018-06-21,32.0,32.13,mediana,mediana
2018-06-22,36.0,35.99,alta,alta
2018-06-23,29.0,29.13,baja,baja
2018-06-24,31.0,31.99,mediana,mediana
2018-06-25,34.0,33.85,mediana,mediana
